BusinessEntityID,Title,FirstName,MiddleName,LastName,Suffix,Shift,Department,GroupName,StartDate,EndDate
1,,Ken,J,Sánchez,,Day,Executive,Executive General and Administration,2003-02-15,
2,,Terri,Lee,Duffy,,Day,Engineering,Research and Development,2002-03-03,
3,,Roberto,,Tamburello,,Day,Engineering,Research and Development,2001-12-12,
4,,Rob,,Walters,,Day,Engineering,Research and Development,2002-01-05,2004-06-30
4,,Rob,,Walters,,Day,Tool Design,Research and Development,2004-07-01,
5,Ms.,Gail,A,Erickson,,Day,Engineering,Research and Development,2002-02-06,
6,Mr.,Jossef,H,Goldberg,,Day,Engineering,Research and Development,2002-02-24,
7,,Dylan,A,Miller,,Day,Research and Development,Research and Development,2003-03-12,
8,,Diane,L,Margheim,,Day,Research and Development,Research and Development,2003-01-30,
9,,Gigi,N,Matthew,,Day,Research and Development,Research and Development,2003-02-17,
10,,Michael,,Raheem,,Day,Research and Development,Research and Development,2003-06-04,
11,,Ovidiu,V,Cracium,,Day,Tool Design,Research and Development,2005-01-05,
12,,Thierry,B,D'Hers,,Day,Tool Design,Research and Development,2002-01-11,
13,Ms.,Janice,M,Galvin,,Day,Tool Design,Research and Development,2005-01-23,
14,,Michael,I,Sullivan,,Day,Engineering,Research and Development,2005-01-30,
15,,Sharon,B,Salavaria,,Day,Engineering,Research and Development,2005-02-18,
16,,David,M,Bradley,,Day,Purchasing,Inventory Management,2002-01-20,2003-08-15
16,,David,M,Bradley,,Day,Marketing,Sales and Marketing,2003-08-16,
17,,Kevin,F,Brown,,Day,Marketing,Sales and Marketing,2001-02-26,
18,,John,L,Wood,,Day,Marketing,Sales and Marketing,2005-03-10,
19,,Mary,A,Dempsey,,Day,Marketing,Sales and Marketing,2005-03-17,
20,,Wanida,M,Benshoof,,Day,Marketing,Sales and Marketing,2005-02-07,
21,,Terry,J,Eminhizer,,Day,Marketing,Sales and Marketing,2003-04-03,
22,,Sariya,E,Harnpadoungsataya,,Day,Marketing,Sales and Marketing,2003-01-13,
23,,Mary,E,Gibson,,Day,Marketing,Sales and Marketing,2003-02-13,
24,Ms.,Jill,A,Williams,,Day,Marketing,Sales and Marketing,2003-02-19,
25,,James,R,Hamilton,,Day,Production,Manufacturing,2003-03-07,
26,,Peter,J,Krebs,,Day,Production Control,Manufacturing,2003-01-02,
27,,Jo,A,Brown,,Day,Production,Manufacturing,2002-03-30,
28,,Guy,R,Gilbert,,Day,Production,Manufacturing,2000-07-31,
29,,Mark,K,McArthur,,Day,Production,Manufacturing,2003-02-24,
30,,Britta,L,Simon,,Day,Production,Manufacturing,2003-03-02,
31,,Margie,W,Shoop,,Day,Production,Manufacturing,2003-02-05,
32,,Rebecca,A,Laszlo,,Day,Production,Manufacturing,2003-01-30,
33,,Annik,O,Stahl,,Day,Production,Manufacturing,2003-01-18,
34,,Suchitra,O,Mohan,,Day,Production,Manufacturing,2003-03-20,
35,,Brandon,G,Heidepriem,,Day,Production,Manufacturing,2003-03-12,
36,,Jose,R,Lugo,,Day,Production,Manufacturing,2003-03-14,
37,,Chris,O,Okelberry,,Day,Production,Manufacturing,2003-04-08,
38,,Kim,B,Abercrombie,,Day,Production,Manufacturing,2004-02-17,
39,,Ed,R,Dudenhoefer,,Day,Production,Manufacturing,2004-03-08,
40,,JoLynn,M,Dobney,,Night,Production,Manufacturing,2002-01-26,
41,,Bryan,,Baker,,Night,Production,Manufacturing,2003-02-22,
42,,James,D,Kramer,,Night,Production,Manufacturing,2003-01-28,
43,,Nancy,A,Anderson,,Night,Production,Manufacturing,2003-02-03,
44,,Simon,D,Rapier,,Night,Production,Manufacturing,2003-01-09,
45,,Thomas,R,Michaels,,Night,Production,Manufacturing,2003-03-30,
46,,Eugene,O,Kogan,,Night,Production,Manufacturing,2003-03-12,
47,,Andrew,R,Hill,,Day,Production,Manufacturing,2003-03-26,
48,,Ruth,Ann,Ellerbrock,,Day,Production,Manufacturing,2002-02-06,
49,,Barry,K,Johnson,,Day,Production,Manufacturing,2002-02-07,
50,,Sidney,M,Higa,,Day,Production,Manufacturing,2002-03-05,
51,,Jeffrey,L,Ford,,Day,Production,Manufacturing,2002-03-23,
52,,Doris,M,Hartwig,,Day,Production,Manufacturing,2002-04-11,
53,,Diane,R,Glimp,,Day,Production,Manufacturing,2002-04-29,
54,,Bonnie,N,Kearney,,Day,Production,Manufacturing,2004-02-02,
55,,Taylor,R,Maxwell,,Night,Production,Manufacturing,2002-03-11,
56,,Denise,H,Smith,,Night,Production,Manufacturing,2003-03-09,
57,,Frank,T,Miller,,Night,Production,Manufacturing,2003-03-27,
58,,Kendall,C,Keil,,Night,Production,Manufacturing,2003-01-06,
59,,Bob,N,Hohman,,Night,Production,Manufacturing,2003-01-25,
60,,Pete,C,Male,,Night,Production,Manufacturing,2003-02-12,
61,,Diane,H,Tibbott,,Night,Production,Manufacturing,2003-02-19,
62,,John,T,Campbell,,Evening,Production,Manufacturing,2002-04-18,
63,,Maciej,W,Dusza,,Evening,Production,Manufacturing,2004-03-01,
64,,Michael,J,Zwilling,,Evening,Production,Manufacturing,2004-03-26,
65,,Randy,T,Reeves,,Evening,Production,Manufacturing,2004-03-26,
66,,Karan,R,Khanna,,Evening,Production,Manufacturing,2004-01-23,
67,,Jay,G,Adams,,Evening,Production,Manufacturing,2003-04-06,
68,,Charles,B,Fitzgerald,,Evening,Production,Manufacturing,2004-01-04,
69,,Steve,F,Masters,,Evening,Production,Manufacturing,2003-03-19,
70,,David,J,Ortiz,,Evening,Production,Manufacturing,2003-01-16,
71,,Michael,Sean,Ray,,Night,Production,Manufacturing,2003-03-19,
72,,Steven,T,Selikoff,,Night,Production,Manufacturing,2003-01-02,
73,,Carole,M,Poland,,Night,Production,Manufacturing,2003-01-20,
74,,Bjorn,M,Rettig,,Night,Production,Manufacturing,2003-02-08,
75,,Michiko,F,Osada,,Night,Production,Manufacturing,2003-02-27,
76,,Carol,M,Philips,,Night,Production,Manufacturing,2003-03-16,
77,,Merav,A,Netz,,Night,Production,Manufacturing,2003-04-04,
78,,Reuben,H,D'sa,,Evening,Production,Manufacturing,2003-01-16,
79,,Eric,L,Brown,,Evening,Production,Manufacturing,2004-02-25,
80,,Sandeep,P,Kaliyath,,Evening,Production,Manufacturing,2004-02-18,
81,,Mihail,U,Frintu,,Evening,Production,Manufacturing,2004-01-30,
82,,Jack,T,Creasey,,Evening,Production,Manufacturing,2004-04-03,
83,,Patrick,M,Cook,,Evening,Production,Manufacturing,2004-03-15,
84,,Frank,R,Martinez,,Evening,Production,Manufacturing,2004-03-08,
85,,Brian,Richard,Goldstein,,Evening,Production,Manufacturing,2004-01-12,
86,,Ryan,L,Cornelsen,,Evening,Production,Manufacturing,2003-02-06,
87,,Cristian,K,Petculescu,,Night,Production,Manufacturing,2003-01-23,
88,,Betsy,A,Stadick,,Night,Production,Manufacturing,2004-01-19,
89,,Patrick,C,Wedge,,Night,Production,Manufacturing,2004-03-04,
90,,Danielle,C,Tiedt,,Night,Production,Manufacturing,2004-03-23,
91,,Kimberly,B,Zimmerman,,Night,Production,Manufacturing,2004-02-13,
92,,Tom,M,Vande Velde,,Night,Production,Manufacturing,2004-04-10,
93,,Kok-Ho,T,Loh,,Evening,Production,Manufacturing,2003-01-28,
94,,Russell,,Hunter,,Evening,Production,Manufacturing,2003-01-13,
95,,Jim,H,Scardelis,,Evening,Production,Manufacturing,2003-01-20,
96,,Elizabeth,I,Keyser,,Evening,Production,Manufacturing,2003-04-03,
97,,Mandar,H,Samant,,Evening,Production,Manufacturing,2003-03-14,
98,,Sameer,A,Tejani,,Evening,Production,Manufacturing,2003-03-15,
99,,Nuan,,Yu,,Evening,Production,Manufacturing,2003-02-07,
100,,Lolan,B,Song,,Evening,Production,Manufacturing,2003-02-13,
101,,Houman,N,Pournasseh,,Evening,Production,Manufacturing,2003-02-26,
102,,Zheng,W,Mu,,Evening,Production,Manufacturing,2003-01-04,
103,,Ebru,N,Ersan,,Evening,Production,Manufacturing,2004-01-07,
104,,Mary,R,Baker,,Evening,Production,Manufacturing,2004-01-26,
105,,Kevin,M,Homer,,Evening,Production,Manufacturing,2004-01-26,
106,,John,T,Kane,,Evening,Production,Manufacturing,2004-03-30,
107,,Christopher,E,Hill,,Evening,Production,Manufacturing,2004-03-11,
108,,Jinghao,K,Liu,,Day,Production,Manufacturing,2003-01-09,
109,,Alice,O,Ciccu,,Day,Production,Manufacturing,2003-01-08,
110,,Jun,T,Cao,,Day,Production,Manufacturing,2003-01-15,
111,,Suroor,R,Fatima,,Day,Production,Manufacturing,2003-01-18,
112,,John,P,Evans,,Day,Production,Manufacturing,2003-02-02,
113,,Linda,K,Moschell,,Day,Production,Manufacturing,2003-01-26,
114,,Mindaugas,J,Krapauskas,,Day,Production,Manufacturing,2003-02-14,
115,,Angela,W,Barbariol,,Day,Production,Manufacturing,2003-02-21,
116,,Michael,W,Patten,,Day,Production,Manufacturing,2003-03-04,
117,,Chad,W,Niswonger,,Day,Production,Manufacturing,2003-03-22,
118,,Don,L,Hall,,Day,Production,Manufacturing,2003-03-17,
119,,Michael,T,Entin,,Day,Production,Manufacturing,2003-03-29,
120,,Kitti,H,Lertpiriyasuwat,,Day,Production,Manufacturing,2003-04-05,
121,,Pilar,G,Ackerman,,Day,Shipping and Receiving,Inventory Management,2003-02-03,
122,,Susan,W,Eaton,,Evening,Shipping and Receiving,Inventory Management,2003-01-08,
123,,Vamsi,N,Kuppa,,Evening,Shipping and Receiving,Inventory Management,2003-01-08,
124,,Kim,T,Ralls,,Night,Shipping and Receiving,Inventory Management,2003-01-27,
125,,Matthias,T,Berndt,,Day,Shipping and Receiving,Inventory Management,2003-02-21,
126,,Jimmy,T,Bischoff,,Day,Shipping and Receiving,Inventory Management,2003-03-30,
127,,David,P,Hamilton,,Night,Production,Manufacturing,2003-02-04,
